mouse_id,AL,20,40,1D,2D
DO-40-2029,0,0,1,0,0
DO-40-2030,0,0,1,0,0
DO-40-2031,0,0,1,0,0
DO-40-2032,0,0,1,0,0
DO-40-2033,0,0,1,0,0
DO-40-2034,0,0,1,0,0
DO-40-2035,0,0,1,0,0
DO-40-2036,0,0,1,0,0
DO-40-2037,0,0,1,0,0
DO-40-2038,0,0,1,0,0
DO-40-2039,0,0,1,0,0
DO-40-2040,0,0,1,0,0
DO-40-2041,0,0,1,0,0
DO-40-2042,0,0,1,0,0
DO-40-2043,0,0,1,0,0
DO-40-2044,0,0,1,0,0
DO-40-2045,0,0,1,0,0
DO-40-2046,0,0,1,0,0
DO-40-2047,0,0,1,0,0
DO-40-2048,0,0,1,0,0
DO-40-2049,0,0,1,0,0
DO-40-2050,0,0,1,0,0
DO-40-2051,0,0,1,0,0
DO-40-2052,0,0,1,0,0
DO-40-2053,0,0,1,0,0
DO-40-2054,0,0,1,0,0
DO-40-2055,0,0,1,0,0
DO-40-2056,0,0,1,0,0
DO-40-2057,0,0,1,0,0
DO-40-2058,0,0,1,0,0
DO-40-2059,0,0,1,0,0
DO-40-2060,0,0,1,0,0
DO-40-2061,0,0,1,0,0
DO-40-2062,0,0,1,0,0
DO-40-2063,0,0,1,0,0
DO-40-2064,0,0,1,0,0
DO-40-2065,0,0,1,0,0
DO-40-2066,0,0,1,0,0
DO-40-2067,0,0,1,0,0
DO-40-2068,0,0,1,0,0
DO-40-2069,0,0,1,0,0
DO-40-2070,0,0,1,0,0
DO-40-2071,0,0,1,0,0
DO-40-2072,0,0,1,0,0
DO-40-2073,0,0,1,0,0
DO-40-2074,0,0,1,0,0
DO-40-2075,0,0,1,0,0
DO-40-2076,0,0,1,0,0
DO-40-2077,0,0,1,0,0
DO-40-2078,0,0,1,0,0
DO-40-2079,0,0,1,0,0
DO-40-2080,0,0,1,0,0
DO-40-2081,0,0,1,0,0
DO-40-2082,0,0,1,0,0
DO-40-2083,0,0,1,0,0
DO-40-2084,0,0,1,0,0
DO-40-2085,0,0,1,0,0
DO-40-2086,0,0,1,0,0
DO-40-2087,0,0,1,0,0
DO-40-2088,0,0,1,0,0
DO-40-2089,0,0,1,0,0
DO-40-2090,0,0,1,0,0
DO-40-2091,0,0,1,0,0
DO-40-2092,0,0,1,0,0
DO-40-2093,0,0,1,0,0
DO-40-2094,0,0,1,0,0
DO-40-2095,0,0,1,0,0
DO-40-2096,0,0,1,0,0
DO-40-2097,0,0,1,0,0
DO-40-2098,0,0,1,0,0
DO-40-2099,0,0,1,0,0
DO-40-2100,0,0,1,0,0
DO-40-2101,0,0,1,0,0
DO-40-2102,0,0,1,0,0
DO-40-2103,0,0,1,0,0
DO-40-2104,0,0,1,0,0
DO-40-2105,0,0,1,0,0
DO-40-2106,0,0,1,0,0
DO-40-2107,0,0,1,0,0
DO-40-2108,0,0,1,0,0
DO-40-2109,0,0,1,0,0
DO-40-2110,0,0,1,0,0
DO-40-2111,0,0,1,0,0
DO-40-2112,0,0,1,0,0
DO-40-2113,0,0,1,0,0
DO-40-2114,0,0,1,0,0
DO-40-2115,0,0,1,0,0
DO-40-2116,0,0,1,0,0
DO-40-2117,0,0,1,0,0
DO-40-2118,0,0,1,0,0
DO-40-2119,0,0,1,0,0
DO-40-2120,0,0,1,0,0
DO-40-2121,0,0,1,0,0
DO-40-2122,0,0,1,0,0
DO-40-2123,0,0,1,0,0
DO-40-2124,0,0,1,0,0
DO-40-2125,0,0,1,0,0
DO-40-2126,0,0,1,0,0
DO-40-2127,0,0,1,0,0
DO-40-2128,0,0,1,0,0
DO-40-2129,0,0,1,0,0
DO-40-2130,0,0,1,0,0
DO-40-2131,0,0,1,0,0
DO-40-2132,0,0,1,0,0
DO-40-2133,0,0,1,0,0
DO-40-2134,0,0,1,0,0
DO-40-2135,0,0,1,0,0
DO-40-2136,0,0,1,0,0
DO-40-2137,0,0,1,0,0
DO-40-2138,0,0,1,0,0
DO-40-2139,0,0,1,0,0
DO-40-2140,0,0,1,0,0
DO-40-2141,0,0,1,0,0
DO-40-2142,0,0,1,0,0
DO-40-2143,0,0,1,0,0
DO-40-2144,0,0,1,0,0
DO-40-2145,0,0,1,0,0
DO-40-2146,0,0,1,0,0
DO-40-2147,0,0,1,0,0
DO-40-2148,0,0,1,0,0
DO-40-2149,0,0,1,0,0
DO-40-2150,0,0,1,0,0
DO-40-2151,0,0,1,0,0
DO-40-2152,0,0,1,0,0
DO-40-2153,0,0,1,0,0
DO-40-2154,0,0,1,0,0
DO-40-2155,0,0,1,0,0
DO-40-2156,0,0,1,0,0
DO-40-2157,0,0,1,0,0
DO-40-2158,0,0,1,0,0
DO-40-2159,0,0,1,0,0
DO-40-2160,0,0,1,0,0
DO-40-2161,0,0,1,0,0
DO-40-2162,0,0,1,0,0
DO-40-2163,0,0,1,0,0
DO-40-2164,0,0,1,0,0
DO-40-2165,0,0,1,0,0
DO-40-2166,0,0,1,0,0
DO-40-2167,0,0,1,0,0
DO-40-2168,0,0,1,0,0
DO-40-2169,0,0,1,0,0
DO-40-2170,0,0,1,0,0
DO-40-2171,0,0,1,0,0
DO-40-2172,0,0,1,0,0
DO-40-2173,0,0,1,0,0
